delta_T_C,mission_cycles,posterior_probability_B10_exceeds_mission
31.0,10000.0,0.04321666666666667
31.25,10000.0,0.03821666666666667
31.5,10000.0,0.03326666666666667
31.75,10000.0,0.028416666666666666
32.0,10000.0,0.0245
32.25,10000.0,0.020616666666666665
32.5,10000.0,0.017516666666666666
32.75,10000.0,0.014816666666666667
33.0,10000.0,0.0124
33.25,10000.0,0.0103
33.5,10000.0,0.00885
33.75,10000.0,0.007466666666666667
34.0,10000.0,0.006583333333333333
34.25,10000.0,0.005583333333333333
34.5,10000.0,0.004916666666666666
34.75,10000.0,0.00425
35.0,10000.0,0.0033333333333333335
35.25,10000.0,0.00265
35.5,10000.0,0.0024
35.75,10000.0,0.002116666666666667
36.0,10000.0,0.00195
36.25,10000.0,0.0012
36.5,10000.0,0.001
36.75,10000.0,0.00085
37.0,10000.0,0.0008166666666666667
37.25,10000.0,0.0008166666666666667
37.5,10000.0,0.0008
37.75,10000.0,0.0008
38.0,10000.0,0.0008
38.25,10000.0,0.0004333333333333333
38.5,10000.0,0.00031666666666666665
38.75,10000.0,8.333333333333333e-05
39.0,10000.0,8.333333333333333e-05
39.25,10000.0,8.333333333333333e-05
39.5,10000.0,8.333333333333333e-05
39.75,10000.0,8.333333333333333e-05
40.0,10000.0,8.333333333333333e-05
40.25,10000.0,5e-05
40.5,10000.0,5e-05
40.75,10000.0,0.0
41.0,10000.0,0.0
41.25,10000.0,0.0
41.5,10000.0,0.0
41.75,10000.0,0.0
42.0,10000.0,0.0
42.25,10000.0,0.0
42.5,10000.0,0.0
42.75,10000.0,0.0
43.0,10000.0,0.0
43.25,10000.0,0.0
43.5,10000.0,0.0
43.75,10000.0,0.0
44.0,10000.0,0.0
44.25,10000.0,0.0
44.5,10000.0,0.0
44.75,10000.0,0.0
45.0,10000.0,0.0
45.25,10000.0,0.0
45.5,10000.0,0.0
45.75,10000.0,0.0
46.0,10000.0,0.0
46.25,10000.0,0.0
46.5,10000.0,0.0
46.75,10000.0,0.0
47.0,10000.0,0.0
47.25,10000.0,0.0
47.5,10000.0,0.0
47.75,10000.0,0.0
48.0,10000.0,0.0
48.25,10000.0,0.0
48.5,10000.0,0.0
48.75,10000.0,0.0
49.0,10000.0,0.0
49.25,10000.0,0.0
49.5,10000.0,0.0
49.75,10000.0,0.0
50.0,10000.0,0.0
